| Item Name          | Price (USD) | Quantity | Total  | Link                                                                                                                        |
|--------------------|-------------|----------|--------|-----------------------------------------------------------------------------------------------------------------------------|
| Arduino Nano esp32 | $20.69      | 1        | $20.69 | [Buy](https://www.amazon.ca/Arduino-Nano-ESP32-headers-ABX00083/dp/B0C947BHK5/ref=sr_1_6?crid=8XSSNP08R2RW&dib=eyJ2IjoiMSJ9.GzP-GvhsR81ftjmV7C-hRXHrqc1PH7lpMl0S-AwsGMImtwg1b7CZXh1Adoe7H0DmPZExijip99Xt4TAtJodE9xrPDSEnuYehbIjVXXnzsxZoYXEg33gCzQo44dGmBRnNjgkBGJrsRpKztAGu7KAkWZSNm0S40bqU11ikmNdPv0x8t6AAURYW36jnduMFuASTR4YrMksuWJpGio-Bba-gBU3Ca0cd3yfn4s-NNw_DUnoe7Z6lN28RDM9M9zx3cF-pH-kN64uRlK2blyorW4nX3Wy07JvW76Qpf4T52tU2W6E.dPfu9wHawe8HoDvAsXAHkMNNIfWMIFa4TmWj9z63-xc&dib_tag=se&keywords=arduino+nano+esp32&qid=1754000328&sprefix=arduino+nano%2Caps%2C108&sr=8-6)                                                                |
| 1336 OLED          | $8.65       | 1        | $8.65  | [Buy](https://www.amazon.ca/Display-Module-SSD1306-Serial-Arduino/dp/B0DGCQP2T8/ref=sr_1_1_sspa?crid=2XVWEVGVHQQWZ&dib=eyJ2IjoiMSJ9.rJ3PIfy1-SaFvJSjrUDiTzxYQN0ZfP3OgYF28KWYugZ3lrkJcMbe4DzUMibWBUtPW2R10mfaTaQuWrjRxsHN77oLdIQUHcCII4S8Li8wAHhETvQEUp-IXRxyWGAZKCbhzT1qwq2SRY2vJzli7O1Xmd8qeey_kzZwmmj2RbHeHs0x_TA_vzI8k4ArOiuzIRyMM1_nQOqXHblpy_WaCZ7yvLG27fVWw93Joiq5RLPEs8zBXrBpNfBrc_Z3O83ZOstFy7uciMnQZObF1XiJm6Ti2rsNRXb5WlPNadCTDVabPig.Z8MhSunBkL7yQ2NYnkxFmfJyUUa6HHM746d9CjNNu2E&dib_tag=se&keywords=ssd1306%2B1.3%2Binch&qid=1754000682&sprefix=ssd1306%2B1%2B3%2Binch%2Caps%2C118&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1)                                                                |
| MT3608 5pc         | $7.14       | 1        | $7.14  | [Buy](https://www.amazon.ca/DAOKI-Converter-Voltage-Regulator-Ardunio/dp/B083DN28HW/ref=sr_1_2_sspa?crid=2M1GHAKOVSRVI&dib=eyJ2IjoiMSJ9.hG8fPw91_cA6VDisB7LW8YVmuYG1X3I4muUIYmqEUTUaDIESwZa0K2QyeuKRVLuLVLGXMLYYdL1N0S9_FcJa7GI_kodyC68jzKKM8pP1tXZ8L-dmAdsIMaXWg_gfsJ7W4PpO1gW--W2bOmT0xZmIyI-lHCahpoQqYncYpV9yBwho-M_SeJTZRqJhoSBo9ioeUWedAzDoQUzx4ZLCdv3f46n0O5-G7t6WLPcNitMTn9nVSSi1nhht1IeAM0mA3ox5nVRYZuje57F6QEBLykmoaz4U5e_zZKlc9tu3INhq1Z8.URCa5M-UW6V6EH8vw5Doz2ZVgNRMAo_KSlpKn_s_Q-s&dib_tag=se&keywords=mt3608&qid=1754000839&sprefix=mt3608%2Caps%2C115&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1)                                                                |
| TP4056             | $6.85       | 1        | $6.85  | [Buy](https://www.amazon.ca/Lithium-Battery-Charging-Protection-Functions/dp/B0CD7H3XD7/ref=sr_1_3_sspa?crid=1KFOH12QTZVA&dib=eyJ2IjoiMSJ9.3u8K2Ym8kd-UGPeUotBUM5NqLE81llIEnUyMJaFLO1XkJFiCw17JryCBGHk9ProylJl_yN1ORfoHMFmk21A-fbAV_0UBFKp2Cicl0XM0pcPcr00jTyV90xzrLfeUv1eMVBSz6aCCsS142lwT9Y4P7BVn0HpnLuVQeC84qtjYRFg73HBpTWl1X4KnfMwQ5xENSHi3GbHao5R0G5J7z6m0jnpYgIszYcMX_kRxJaYtusKNolK5V-vS-Cgr5w1Ur3gEgrLWtR_nnepAFJMOMyaX3hzVxkeiFjRHO_DPocuifQo.fZkx89GROqe760SEIsoyAq3oCkZa3yryNiUbJ50mtcY&dib_tag=se&keywords=tp4056&qid=1754000946&sprefix=tp4%2Caps%2C140&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1)                                                                |
| USBC Breakout      | $12.26      | 1        | $12.26 | [Buy](https://www.amazon.ca/Treedix-Type-C-Breakout-Connector-Converter/dp/B096M2HQLK/ref=sr_1_8?crid=10P5QMUQCPWGE&dib=eyJ2IjoiMSJ9.vxQpkhaQqZdoSAW7fYMUm24KT0MBWIEQ4O1VDupejwGzoofA1qOYppFj_KDU5GE1JM37FSN4-wMOE9YkSQWvns_qqkvMhlAE3vIRqzl-9QGVRxOF4UEY-dAbwDihRwpWvQypmsUD5fQPYyQjo7knIT9-UyLrhR7sq5qGBoQgwYzpkhJOGFfjBhaLxGkhcgRN5QvU2DRiBdXK9ibdY_iZk9XS7hjE8XJolgQzaPxi6QBKxvEsnE3Fvg__g4B0hhMu0-AM2IuFoUVVWEmubV8dsScGRn17fBEMu1CnJAzXn0s.KFEcMtPp6-MwQpQhiV6zz8X27CeOEH9M20kuwHUvAcg&dib_tag=se&keywords=usb+c+breakout+board&qid=1754001056&sprefix=usb+c+br%2Caps%2C133&sr=8-8)                                                                |
| Buttons            | $4.32       | 1        | $4.32  | [Buy](https://www.amazon.ca/Honbay-6x6x4-3mm-Momentary-Switches-Pushbutton/dp/B077N3D7BD/ref=sr_1_6?crid=2AMPQ6I8EPBEV&dib=eyJ2IjoiMSJ9.3NjyRnhsfzcxzQLniYcNVLF19OaxrrxO5FO19QsvvPxKxdt-bmOLuCJY_D6A2Y6sFfSuss7iNg0y17LQYcbatWn9uX6g_RupaDij3U6XFWOCDGodFVtDwP0Cg5PtiPqJKamhHTIMYGBaFh8CkwV5nLWMW-aLrDyORpGYGLGH8DD3WSAjhi19gPCRdRGWIYKz6KntS4ASZKrVY2y4isKjRdU6_NAG8x1OyZrOtX_P7qiNqfQv4WDiz4L5a7teM4Wpm-vsLr0YbDhJYaqVa4loLRP04JjtP3GG87X_ptUuUxg.X64rAjrfkM4wT2DxYMnlqE9w0vlKL8Ys8fH5OJaR73U&dib_tag=se&keywords=6x6+button&qid=1754001231&sprefix=6x6+button%2Caps%2C132&sr=8-6)                                                                |
| Battery            | $14.42      | 1        | $14.42 | [Buy](https://www.amazon.ca/dp/B08ZCQXFX4/ref=sspa_dk_detail_1?pd_rd_i=B08ZCQXFX4&pd_rd_w=wcmMn&content-id=amzn1.sym.516c2169-755e-413a-a38a-68230f4ab66f&pf_rd_p=516c2169-755e-413a-a38a-68230f4ab66f&pf_rd_r=9W83G9QVJHKE89S7H1ZD&pd_rd_wg=oHHMA&pd_rd_r=07336d54-ab13-442e-bc02-369980218489&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1)                                             |
| Resistors          | $14.42      | 1        | $14.42 | [Buy](https://www.amazon.ca/BOJACK-Values-Resistor-Resistors-Assortment/dp/B08FD1XVL6/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.rZUEPcUJVygRlQTv5lu4lwbdsMj3JnUWwQX1kHL7uCOyDdLiclvdTZp15_k6_u__9HRnG8uw--QNfqFqfUWUk6QV1gQ-ep6ks95ae9ZLhk3XXN_TRaDfS_dSPWqv37rkq1kbhUltBU0VSI5WyNHi5L4YBapvbs2D_9pXoJSvhjhnheN5cL5FzMnyjY5dFiozaZtqYmr_Ozut4GQqHfCnWsirigAsvz_e6QAh4k0GDXgRJrcFBzrcY_ZIgxubsiUBSRmkhxt317mHvbm0wcdwdWHtr6n8dH8um8W5UfeS1-U.3iYraHlqSQ_fmhYl2WczUeptBJO-v-P_Zhqps_w5b84&dib_tag=se&keywords=resistors&qid=1754002163&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1)                               |
| **Final Total**    |             |          | **$88.75** |                                                                                                                             |
